,pass_diff,rush_diff,drive_points_diff,total_yards_diff,def_st_td_diff,turnover_diff,date,week,season,score_away,score_home
0,0.699999999999999,-2.5,-0.36,82,0,2,2002-09-05,1,2002,16,13
1,-0.2,-0.8,-0.46,118,-2,2,2002-09-08,1,2002,37,31
2,0.6,-1.1,0.24,0,0,-1,2002-09-08,1,2002,23,27
3,-3,-2.6,-2.69,-198,0,1,2002-09-08,1,2002,34,6
4,-0.699999999999999,-3.5,0.29,-59,0,0,2002-09-08,1,2002,40,39
5,-0.800000000000001,-0.5,-0.09,80,0,0,2002-09-08,1,2002,34,37
6,2.9,-1.2,0.28,67,0,1,2002-09-08,1,2002,24,27
7,2,1.7,1.89,132,2,-2,2002-09-08,1,2002,21,49
8,2.8,0.3,0.44,185,0,0,2002-09-08,1,2002,23,31
9,0.1,-0.1,0.29,-24,0,-1,2002-09-08,1,2002,7,10
10,-0.3,0,-0.09,36,-2,0,2002-09-08,1,2002,28,25
11,-0.3,1.5,8.3,-36,0,0,2002-09-08,1,2002,16,23
12,2.7,2.8,3.5,237,0,2,2002-09-08,1,2002,17,31
13,-1.1,-0.1,-1.5,-35,-2,0,2002-09-08,1,2002,26,20
14,1.9,-4,0.44,-57,0,-1,2002-09-08,1,2002,10,19
15,1,0.4,1.4,60,0,-4,2002-09-09,1,2002,14,30
16,-0.9,0.7,-0.13,15,0,1,2002-09-15,2,2002,14,13
17,2,-2.2,1.35,-92,0,-3,2002-09-15,2,2002,7,20
18,4.1,-1.2,0.53,-36,2,-1,2002-09-15,2,2002,13,21
19,-3.5,-0.2,-0.62,90,0,2,2002-09-15,2,2002,21,13
20,-2.8,0.5,-0.3,-114,0,1,2002-09-15,2,2002,23,16
21,1.5,0.7,0.83,0,2,-2,2002-09-15,2,2002,20,35
22,-2.6,-0.5,-2.79,-232,-4,0,2002-09-15,2,2002,44,7
23,7.8,-0.8,1.75,263,2,-3,2002-09-15,2,2002,7,31
24,-3.5,0.3,-1.79,-106,-3,1,2002-09-15,2,2002,25,0
25,-4.5,2.7,-0.45,-42,-2,3,2002-09-15,2,2002,26,21
26,2.8,-4.3,-0.79,79,-1,0,2002-09-15,2,2002,24,13
27,-3.8,3.3,-0.19,-19,-3,3,2002-09-15,2,2002,45,39
28,3.9,-0.1,1.05,149,2,-2,2002-09-15,2,2002,3,24
29,0.1,-2.1,-1,-38,0,1,2002-09-15,2,2002,24,14
30,0.2,-1.6,-1.03,-191,-1,3,2002-09-15,2,2002,30,17
31,-4.5,-1.1,-2.46,-272,1,3,2002-09-16,2,2002,37,7
32,-1,1.2,-0.26,51,0,-1,2002-09-22,3,2002,29,23
33,-1.8,-2.1,-0.07,-216,1,-4,2002-09-22,3,2002,31,28
34,1.4,3.4,2.33,205,0,-4,2002-09-22,3,2002,3,30
35,-1,-0.9,-0.38,-120,0,3,2002-09-22,3,2002,21,14
36,2.2,-1.7,0.16,147,0,-2,2002-09-22,3,2002,38,41
37,2.2,1.4,2.1,143,-1,-2,2002-09-22,3,2002,13,44
38,-5.5,0.9,-1.59,-135,0,0,2002-09-22,3,2002,23,3
39,-0.3,2.3,0.31,51,2,-1,2002-09-22,3,2002,23,28
40,0.3,0.9,-0.7,8,-2,2,2002-09-22,3,2002,23,15
41,-2.4,1.4,-0.44,-171,-1,2,2002-09-22,3,2002,37,31
42,2.6,0.5,0.32,206,0,-1,2002-09-22,3,2002,6,9
43,-1.2,2.5,0.66,149,0,-2,2002-09-22,3,2002,10,20
44,3.3,0.7,2.56,115,0,-2,2002-09-22,3,2002,3,30
45,-0.1,-0.5,1.18,-106,2,-3,2002-09-23,3,2002,14,26
46,2.4,2.1,0.24,170,-2,1,2002-09-29,4,2002,27,33
47,2.5,-4.1,0.56,-5,2,-3,2002-09-29,4,2002,21,26
48,-2,0.5,0.18,-34,0,-2,2002-09-29,4,2002,14,17
49,3.1,-1.8,1.17,51,0,-5,2002-09-29,4,2002,30,48
50,1.4,-0.1,-0.1,51,0,1,2002-09-29,4,2002,13,10
51,1.4,-0.3,1.09,149,0,0,2002-09-29,4,2002,17,35
52,2.6,-2.4,0,113,0,0,2002-09-29,4,2002,13,16
53,3.9,2.1,2.12,38,0,-4,2002-09-29,4,2002,3,28
54,-5.9,-1,-2.13,-195,0,-1,2002-09-29,4,2002,35,7
55,-0.4,-1.1,1.08,0,2,-2,2002-09-29,4,2002,7,21
56,1.2,1.6,1.7,34,4,-3,2002-09-29,4,2002,25,52
57,-0.9,3.2,0.67,-98,0,-2,2002-09-29,4,2002,14,21
58,3.2,-1,1.62,-62,2,-3,2002-09-29,4,2002,23,48
59,0.4,-1.8,0.79,-173,0,-1,2002-09-30,4,2002,23,34
