,season,week,home,away,game_result,yppa_diff,rush_diff,drive_points_diff,turnover_diff,sack_yards_diff,sack_times_diff
3201,2014,1,Seahawks,Packers,1,1.5,1.7999999999999998,2.0,0,-14,-2
3202,2014,1,Falcons,Saints,1,2.4000000000000004,-0.09999999999999964,-0.040000000000000036,-1,3,1
3203,2014,1,Bears,Bills,0,-0.5999999999999996,-1.0,-0.25,2,2,1
3204,2014,1,Chiefs,Titans,0,-2.3000000000000007,-0.3999999999999999,-1.23,3,1,0
3205,2014,1,Rams,Vikings,0,0.0,-2.5,-2.59,2,27,5
3206,2014,1,Dolphins,Patriots,1,1.2999999999999998,0.5999999999999996,0.8199999999999998,1,-14,-3
3207,2014,1,Jets,Raiders,1,2.3999999999999995,4.5,0.41000000000000014,2,13,0
3208,2014,1,Eagles,Jaguars,1,0.5,1.7999999999999998,1.21,2,23,2
3209,2014,1,Steelers,Browns,1,4.1,-1.7999999999999998,0.06000000000000005,1,-10,0
3210,2014,1,Ravens,Bengals,0,-2.6000000000000005,1.7000000000000002,-0.5899999999999999,2,16,3
3211,2014,1,Texans,Redskins,1,2.9000000000000004,-2.3000000000000003,1.15,-1,-26,-3
3212,2014,1,Cowboys,49ers,0,-1.4000000000000004,1.2999999999999998,-1.41,4,17,2
3213,2014,1,Buccaneers,Panthers,0,-1.9000000000000004,2.6,-0.55,3,12,2
3214,2014,1,Broncos,Colts,1,0.5,-0.6999999999999997,0.5800000000000001,-2,-6,-2
3215,2014,1,Lions,Giants,1,6.299999999999999,0.10000000000000009,1.7800000000000002,-2,-14,-1
3216,2014,1,Cardinals,Chargers,1,1.3000000000000007,2.0,-0.050000000000000044,1,10,2
3217,2014,2,Ravens,Steelers,1,0.20000000000000018,-1.0999999999999996,1.9300000000000002,-3,-15,-2
3218,2014,2,Bills,Dolphins,1,3.5,-0.3999999999999999,1.4,-2,-31,-4
3219,2014,2,Bengals,Falcons,1,7.8,-1.2999999999999998,1.0899999999999999,-3,-19,-2
3220,2014,2,Browns,Saints,1,-0.6999999999999993,-2.3000000000000007,0.41999999999999993,-2,-12,-1
3221,2014,2,Titans,Cowboys,0,1.7000000000000002,1.2000000000000002,-1.5299999999999998,1,-26,-2
3222,2014,2,Vikings,Patriots,0,-2.3,-1.2999999999999998,-2.19,4,32,5
3223,2014,2,Giants,Cardinals,0,1.7999999999999998,-1.4000000000000004,-1.0,4,-8,-2
3224,2014,2,Redskins,Jaguars,1,2.8,2.0,2.32,-1,-40,-7
3225,2014,2,Panthers,Lions,1,2.1000000000000005,-1.2999999999999998,1.27,-3,-8,0
3226,2014,2,Chargers,Seahawks,1,0.2999999999999998,-5.6000000000000005,0.8999999999999999,-1,-14,-1
3227,2014,2,Buccaneers,Rams,0,0.7000000000000011,1.1000000000000005,-0.49,0,-11,-1
3228,2014,2,Broncos,Chiefs,1,3.1999999999999993,0.2999999999999998,0.8799999999999999,0,-3,-1
3229,2014,2,Packers,Jets,1,2.2,-0.3999999999999999,0.5800000000000001,0,26,2
3230,2014,2,Raiders,Texans,0,-1.0,1.8000000000000007,-1.6,4,0,0
3231,2014,2,49ers,Bears,0,1.7999999999999998,2.0,-0.7299999999999998,4,10,3
3232,2014,2,Colts,Eagles,0,-3.8000000000000007,-0.2999999999999998,-0.25,1,0,0
3233,2014,3,Falcons,Buccaneers,1,8.100000000000001,0.3999999999999999,3.3099999999999996,-1,-20,-2
3234,2014,3,Bills,Chargers,0,-4.9,1.7000000000000002,-1.29,0,27,1
3235,2014,3,Bengals,Titans,1,1.8999999999999995,-1.5999999999999996,2.17,-1,-8,-2
3236,2014,3,Browns,Ravens,0,4.6,-2.0,-0.19999999999999973,-1,0,0
3237,2014,3,Lions,Packers,1,1.5999999999999996,-0.5,1.3299999999999998,2,-7,0
3238,2014,3,Rams,Cowboys,0,-1.6000000000000005,-0.20000000000000018,-0.2999999999999998,1,0,0
3239,2014,3,Patriots,Raiders,1,0.9000000000000004,-0.6000000000000001,0.6000000000000001,-1,13,2
3240,2014,3,Saints,Vikings,1,1.8999999999999995,0.6999999999999997,1.38,0,-10,-1
3241,2014,3,Giants,Texans,1,-0.20000000000000107,-0.20000000000000018,1.0,-2,1,-1
3242,2014,3,Eagles,Redskins,1,-1.0,-0.7999999999999998,0.22999999999999998,0,0,0
3243,2014,3,Jaguars,Colts,0,-1.2999999999999998,0.20000000000000018,-2.58,3,12,2
3244,2014,3,Cardinals,49ers,1,1.0999999999999996,-0.5,1.13,1,-9,-1
3245,2014,3,Dolphins,Chiefs,0,-2.3,2.8,-1.55,-2,-4,-1
3246,2014,3,Seahawks,Broncos,1,1.2999999999999998,1.7,0.30000000000000004,-1,13,2
3247,2014,4,Panthers,Steelers,0,1.2000000000000002,-3.5999999999999996,-1.5900000000000003,2,17,2
3248,2014,4,Jets,Bears,0,1.7999999999999998,1.5000000000000004,-0.52,2,-12,-1
3249,2014,4,Redskins,Giants,0,-0.1999999999999993,1.0,-2.38,5,9,1
3250,2014,4,Bears,Packers,0,-3.3000000000000007,2.6,-3.3099999999999996,2,4,0
3251,2014,4,Colts,Titans,1,3.3,-2.6999999999999997,1.5100000000000002,-2,-18,-3
3252,2014,4,Raiders,Dolphins,0,-3.0,-1.6,-2.09,1,11,2
3253,2014,4,Jets,Lions,0,-1.7999999999999998,1.6000000000000005,-0.5800000000000001,2,-16,-2
3254,2014,4,Steelers,Buccaneers,0,0.7000000000000002,-0.19999999999999973,-0.52,0,11,4
3255,2014,4,Ravens,Panthers,1,3.2,1.6,3.5,-1,-20,-2
3256,2014,4,Texans,Bills,1,2.0999999999999996,-2.6,0.51,1,-1,1
3257,2014,4,Chargers,Jaguars,1,3.0,-1.2999999999999998,2.03,-3,-7,-1
3258,2014,4,Vikings,Falcons,1,3.5999999999999996,-0.09999999999999964,1.4,-2,-10,-1
